MainProcess | log time - 2022-07-22 16:19:40 | log level - INFO | [main.py: line - 287 in function get_and_save_ads_info] | Полученные данные объявления {'Дата публикации': 'Вчера в 18:10', 'Заголовок': '1-к. квартира, 41\xa0м², 4/22\xa0эт.', 'Описание': 'Прекрасная квартира для отдыха после деловой встречи или насыщенной прогулки по Москве, а возможно и просто смена обстановки. \nОснащена всем необходимым для комфортного проживания: 🖥 вся необходимая бытовая техника 🍽 кухня полностью оборудованна посудой для приготовления и приема пищи 🛏 комфортные места для сна 🛁 белоснежная ванная 📱 wi-fi 🧼 качественная уборка перед каждым заселением, свежее постельное белье и полотенца\n 🗺 Благодаря уникальному расположению квартиры, Вы сможете за 20 минут оказаться, как в центре города, так и в аэропорту Шереметьево. Удобная транспортная развязка, рядом остановка городского транспорта, выезд на МКАД и Ленинградское шоссе (выезд из города). Рядом магазины, аптеки, банкоматы, ТЦ и кафе/рестораны. \nФото 100% соответствуют реальности! Никаких дополнительных комиссий! \nПри заселении обязательно иметь при себе паспорт! Не сдаётся для проведения праздничных мероприятий! 🚬 Курение строго запрещено!!! \nЦена зависит от срока проживания и количества гостей.\n', 'Цена': '1710', 'Регион': '', 'Город': 'Москва', 'Адрес': 'Москва, Фестивальная ул., 41к2', 'url': 'https://avito.ru/moskva/kvartiry/1-k._kvartira_41m_422et._2020156097', 'Изображения': 'https://99.img.avito.st/image/1/1.utDeCLayFjnov5Q0phKInCKrFj9-qRQ.gRbksdf78fkQQtj4Dq8I8cqs7XbGxP_xJDIOZ0fqV0k\nhttps://75.img.avito.st/image/1/1.pmEEFbayCogyooiFRAuULfi2Co6ktAg.Qe5mAmhDPz8P-xRu4ewxC5nxRBOwObnmbjr-BsKMQTs\nhttps://11.img.avito.st/image/1/1.rl08ELayArQKp4C5bAqcEcCzArKcsQA.aKngML97Iije40tXPF8P-vdrexyxR_vPnZ81cEnaPps\nhttps://24.img.avito.st/image/1/1.Oa7veLaylUfZzxdKkWAL4hPblUFP2Zc.qgbKAuSXKd7LJCb3J004qszPtnnBjnNx2dD1a2gPpqE\nhttps://52.img.avito.st/image/1/1.FX4C9rayuZc0QTuaJOonMv5VuZGiV7s.nJHCEdA6vOq-AW_yU_x4xSVRNEJLXrWzVoFov21J8Os\nhttps://87.img.avito.st/image/1/1.kkFty7ayPqhbfLylRamgDZFoPq7Najw.Mpe9wMCwigzXNJ0znkAn5TTocyOrLFPwXGyvCC_dkpI\nhttps://30.img.avito.st/image/1/1.p_7tzrayCxfbeYkar6yVshFtCxFNbwk.5VScpTwlhEPp3lBnQJQlqeY-OIGe39GGl6-goI82dVw\nhttps://01.img.avito.st/image/1/1.HMEAebaysCg2zjIlNBkujfzasC6g2LI.c-YQVevGkirsvffEHpWBR86q-hpEVXojUYNmCSyem_c\nhttps://45.img.avito.st/image/1/1.MEDbAbaynKntth6kt2ECDCeinK97oJ4.m9s7WKtCxQ7F4tWHK77bSrl558PZF9JF9qRjXlPkaUk\nhttps://22.img.avito.st/image/1/1.Q31n9ray75RRQW2ZbZNxMZtV75LHV-0.v8rZ07P2RNa9w5v7CySOHKoiBJr77SZA8M-K5AkEMqc\nhttps://81.img.avito.st/image/1/1.BDGcEbayqNiqpirVmHU2fWCyqN48sKo.12UlQM5N5AYM4VUAHATZ0aZcQldTv4GU9QVfpG89uzA\n', 'Характеристики': 'Количество комнат: 1;Общая площадь: 41 м²;Этаж: 4 из 22;Балкон или лоджия: балкон, лоджия;Техника: холодильник, плита, микроволновка, стиральная машина, телевизор, утюг;Интернет и ТВ: Wi-Fi;Комфорт: постельное белье, полотенца, средства гигиены;'}
MainProcess | log time - 2022-07-22 16:19:40 | log level - INFO | [main.py: line - 293 in function get_and_save_ads_info] | Сохранение данных в файл ./data/result/result.xlsx
MainProcess | log time - 2022-07-22 16:19:40 | log level - INFO | [main.py: line - 308 in function get_and_save_ads_info] | Ожидание: 10 сек
MainProcess | log time - 2022-07-22 16:19:50 | log level - INFO | [main.py: line - 221 in function get_and_save_ads_info] | Проверяемое объявление https://avito.ru/moskva/kvartiry/3-k._apartamenty_469m_35et._2224734346
MainProcess | log time - 2022-07-22 16:19:55 | log level - INFO | [main.py: line - 258 in function get_and_save_ads_info] | Очистка html тегов из описания
MainProcess | log time - 2022-07-22 16:19:55 | log level - INFO | [main.py: line - 287 in function get_and_save_ads_info] | Полученные данные объявления {'Дата публикации': 'Сегодня в 10:35', 'Заголовок': '3-к. апартаменты, 46,9\xa0м², 3/5\xa0эт.', 'Описание': 'Апартаменты на 15й Парковой улице д.10а Для тех, кто ищет качественное жилье для комфортной жизни.Окончание ремонта – 1 квартал 2022 года. 🏗Здание построено с полной модернизацией от кровли и окон до всех инженерных систем! 8 причин купить апартаменты на 15йПарковой, 10а.\n—  ➀ Качественный ремонт в апартаментах в современном стиле —  ➁Дизайнерская отделка холлов и входных групп 🏛—  ➂ Архитектурная подсветка фасадов. Светопроницаемые конструкции из алюминиевого профиля —  ➃ Энергосберегающий фасад ☀ со штатными местами для установки кондиционеров❄—  ➄ Подсобные помещения в цокольной части здания (-1 этаж) ❒—  ➅  Транспортная доступность. Метро Первомайская в 18 мин ходьбы или 9 минутах на общественном транспорте. Меньше 4км до МКАД и 3км до Щёлковского шоссе на автомобиле. —   ➆ Развитая инфраструктура исторически сложившегося района с детскими дошкольными, школьными и высшими образовательными учреждениями, ТРЦ, магазинами, кафе, спортивными клубами, поликлиникой, престижной больницей в шаговой доступности—   ➇ Экологичный район. 8 минут пешком до лесопарка Измайлово.\n15-я ПАРКОВАЯ  д 10а  под 1  этаж 3 помещение 26\n', 'Цена': '14773500', 'Регион': '', 'Город': 'Москва', 'Адрес': 'Москва, 15-я Парковая ул., 10А', 'url': 'https://avito.ru/moskva/kvartiry/3-k._apartamenty_469m_35et._2224734346', 'Изображения': 'https://30.img.avito.st/image/1/1.qyKbB7ayB8utsIXGwWWHYnWkB807pgU.F0kiUmeyI74nYZlB0UaI5Qcpc6KXtg7mb_eWBPoWpEM\nhttps://72.img.avito.st/image/1/1.cQ0lj7ay3eQTOF_pS8J_NcQs3eKFLt8.WY-StVL47b1Kl_EaLBXyIjPzCvw2cpAWOAsonEeh-r4\nhttps://97.img.avito.st/image/1/1.ZM4COrayyCc0jUoqRltIjuyZyCGim8o.cvuzgTYQTymLBLTzCwTCYXpBJHv9hQmOXtcWLXkW3Ts\nhttps://71.img.avito.st/image/1/1.1gRe3rayeu1oafjgfv3yXol9euv-f3g.RnxfztoyhtTbWWxsx_zpw8LrBsle-_vChQe-JDqF4fk\nhttps://74.img.avito.st/image/1/1.5zRmWrayS91Q7cnQJH3DbrH5S9vG-0k.6aXikSAYt6ikqUD95uesyJ-Jb_YyjdcvN2UFS6DkLcU\nhttps://91.img.avito.st/image/1/1.4hUxTbayTvwH-szxeWLGT-buTvqR7Ew.hJQAQBmkk99PW6lq1CeeWE8sdMGQM-zYpNjBJ9C1C5Q\n', 'Характеристики': 'Количество комнат: 3;Общая площадь: 46.9 м²;Площадь кухни: 27.6 м²;Этаж: 3 из 5;Тип комнат: изолированные;Ремонт: евро;Способ продажи: свободная;'}
MainProcess | log time - 2022-07-22 16:19:55 | log level - INFO | [main.py: line - 293 in function get_and_save_ads_info] | Сохранение данных в файл ./data/result/result.xlsx
MainProcess | log time - 2022-07-22 16:19:55 | log level - INFO | [main.py: line - 308 in function get_and_save_ads_info] | Ожидание: 10 сек
MainProcess | log time - 2022-07-22 16:20:05 | log level - INFO | [main.py: line - 221 in function get_and_save_ads_info] | Проверяемое объявление https://avito.ru/moskva/kvartiry/1-k._kvartira_22m_19et._2514769115
MainProcess | log time - 2022-07-22 16:20:11 | log level - INFO | [main.py: line - 258 in function get_and_save_ads_info] | Очистка html тегов из описания
